CODIGO_MUNICIPIO;MUNICIPIO;GAL;CODIGO_GAL
19003;Adobes;"Asociación de Desarrollo Rural ""Molina de Aragón - Alto Tajo""";G118
46002;Ador;Asociación Ruralter- Leader Zona 7;G263
3009;Alcoy/Alcoi;;
9003;Adrada de Haza;Asociación para el Desarrollo Rural e Integral de La Ribera del Duero Burgalesa;G136
40002;Adrada de Pirón;Asociación para el Desarrollo Rural Segovia Sur;G156
5002;Adrada, La;Centro de Desarrollo Rural Valle del Tiétar;G130
42003;Adradas;Asociación para el Desarrollo Endógeno de Almazán y otros municipios;G157
40003;Adrados;Asociación Honorse-Tierra de Pinares;G154
3001;Adsubia;Asociación Centro de Desarrollo Rural Alicante;G257
20002;Aduna;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
3011;Alfàs del Pi, l';;
37002;Agallas;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
25002;Àger;Consorci Grup D'acció Local Noguera - Segrià Nord;G178
36020;Agolada;Asociación de Desenvolvemento Rural Terras do Deza;G236
50003;Agón;Asociación para el Desarrollo de las Tierras del Moncayo;
3012;Algorfa;;
3014;Alicante/Alacant;;
25003;Agramunt;Consorci Leader Urgell- Pla D'urgell;
42004;Ágreda;Asociación Proyecto Noreste de Soria;G160
3003;Agres;Asociación Centro de Desarrollo Rural Alicante;G257
18001;Agrón;Asociación para la Promoción Económica del Valle Lecrín-Temple y La Costa;G024
41001;Aguadulce;Asociación Desarrollo Rural Estepa Sierra Sur;G047
50004;Aguarón;Federación para el Desarrollo Integral de Valdejalón y Campo de Cariñena;G072
9006;Aguas Cándidas;Asociación para el Desarrollo Comarcal Bureba;G134
47002;Aguasal;Asociación para el Desarrollo Rural Ruta del Mudéjar;G165
44003;Aguatón;Asociación para el Desarrollo Rural e Integral de la Comarca de Teruel;G061
44004;Aguaviva;Grupo de Acción Local Bajo Aragón-Matarraña;G064
13002;Agudo;"Asociación para el Desarrollo de la Comarca de Almadén ""Montesur""";G108
22004;Agüero;Asociación para el Desarrollo Rural Comarcal de la Hoya de Huesca / Plana de Uesca;G055
40004;Aguilafuente;Asociación Honorse-Tierra de Pinares;G154
9007;Aguilar de Bureba;Asociación para el Desarrollo Comarcal Bureba;G134
34004;Aguilar de Campoo;Agrupación Comarcal de Desarrollo de la Montaña Palentina;G144
47003;Aguilar de Campos;Asociación para el Desarrollo Rural Integrado de Tierra de Campos - Zona Norte de Valladolid;
31008;Aguilar de Codés;"Asociación TEDER ""Tierra Estella Desarrollo Rural""";G250
14002;Aguilar de la Frontera;Asociación Grupo de Desarrollo Sostenible de la Campiña Sur Cordobesa;G015
8002;Aguilar de Segarra;Consorci per al Desenvolupament de la Catalunya Central;G180
44005;Aguilar del Alfambra;Asociación para el Desarrollo Rural e Integral de la Comarca de Teruel;G061
26003;Aguilar del Río Alhama;Asociación para el Desarrollo Rural de La Rioja Suroriental;G255
3015;Almoradí;;
50005;Aguilón;Federación para el Desarrollo Integral de Valdejalón y Campo de Cariñena;G072
3018;Altea;;
17001;Agullana;Associació per al Desenvolupament Rural Integral de la Zona Nord - Oriental de Catalunya;G173
3019;Aspe;;
3021;Banyeres de Mariola;;
10006;Ahigal;"Asociación para la Promoción y el Desarrollo de la Comarca de Trasierra Tierras de Granadilla ""Cáparra""";G206
37003;Ahigal de los Aceiteros;Asociación para el Desarrollo de la Zona Oeste de Salamanca;G149
37004;Ahigal de Villarino;Asociación para el Desarrollo de la Zona Oeste de Salamanca;G149
6003;Ahillones;Centro de Desarrollo Rural Campiña Sur;
20016;Aia;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
31009;Aibar/Oibar;Asociación Cederna Garalur Elkartea Centro de Desarrollo Rural de Navarra;G249
3024;Benejúzar;;
46043;Aielo de Rugat;Asociación Ruralter- Leader Zona 7;G263
3026;Beniarbeig;;
43001;Aiguamúrcia;Consorci de Desenvolupament Alt Camp, Conca De Barberà I Anoia;G181
3031;Benidorm;;
3004;Aigües;Asociación Centro de Desarrollo Rural Alicante;G257
12002;Aín;Asociación Ruralter Castellón Sur;G258
22907;Aínsa-Sobrarbe;Centro para el Desarrollo del Sobrarbe y La Ribagorza;G058
50006;Ainzón;Asociación para el Desarrollo de las Tierras del Moncayo;
22006;Aisa;Asociación para el Desarrollo Integral de la Cuna de Aragón;G054
3034;Benijófar;;
3041;Benissa;;
3042;Benitachell/Poble Nou de Benitatxell, el;;
26004;Ajamil de Cameros;Asociación para el Desarrollo Rural de La Rioja Suroriental;G255
3044;Bigastro;;
45001;Ajofrín;"Asociación para el Desarrollo Integrado del Territorio ""Montes Toledanos""";G126
44006;Alacón;Asociación para el Desarrollo Integral del Bajo Martín y Andorra-Sierra de Arcos;G059
50007;Aladrén;Federación para el Desarrollo Integral de Valdejalón y Campo de Cariñena;G072
47004;Alaejos;Asociación para el Desarrollo Rural Ruta del Mudéjar;G165
50008;Alagón;Asociación para el Desarrollo de la Ribera Alta del Ebro;G066
3046;Busot;;
7002;Alaior;Associació Leader Illa de Menorca;G084
21001;Alájar;Asociación Grupo de Desarrollo Rural de la Sierra de Aracena y Picos de Aroche;G027
3047;Calp;;
29001;Alameda;Grupo de Acción y Desarrollo Local de la Comarca de Antequera;G043
37005;Alameda de Gardón, La;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
3048;Callosa d'En Sarrià;;
28003;Alameda del Valle;Consorcio para la Gestión del Grupo de Acción Local Sierra Norte de Madrid;G243
18002;Alamedilla;Asociación para la Promoción Económica de los Montes de Granada;G022
37006;Alamedilla, La;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
13003;Alamillo;"Asociación para el Desarrollo de la Comarca de Almadén ""Montesur""";G108
19004;Alaminos;Asociación para el Desarrollo Local de La Sierra Norte de Guadalajara;G120
3049;Callosa de Segura;;
25004;Alamús, Els;Consorci Leader Urgell- Pla D'urgell;
6004;Alange;Federación para el Desarrollo de Sierra Grande Tierra de Barros;G194
41002;Alanís;Asociación Grupo de Desarrollo Rural de la Sierra Morena Sevillana;G048
3050;Campello, el;;
34005;Alar del Rey;Asociación para el Desarrollo Rural Integral de las Comarcas Naturales de los Páramos y Valles Palentinos;G146
37007;Alaraz;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
50009;Alarba;Asociación para el Desarrollo Rural Integral de la Comarca de Calatayud y del Aranda;
16003;Alarcón;Asociación para el Desarrollo Integral de La Manchuela Alta;G115
19005;Alarilla;Asociación para el Desarrollo de Alcarria y Campiña;G119
7001;Alaró;"Associació per al desenvolupament rural ""Mallorca Rural""";G085
25005;Alàs i Cerc;Consorci Grup D'acció Local Alt Urgell - Cerdanya;G177
2002;Alatoz;Asociación para el Desarrollo de La Manchuela;G101
44007;Alba;Asociación para el Desarrollo Rural e Integral de la Comarca de Teruel;G061
34006;Alba de Cerrato;Asociación para el Desarrollo Rural Integral del Cerrato Palentino;G147
37008;Alba de Tormes;Asociación para el Desarrollo Rural y Económico de las Comarcas del  Campo Charro, Alba de Tormes y Guijuelo;G152
37009;Alba de Yeltes;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
3055;Catral;;
25006;Albagés, L';Consorci Garrigues per al Desenvolupament del Territori;G176
3056;Cocentaina;;
41003;Albaida del Aljarafe;Asociación para el Desarrollo de la Comarca de Aljarafe-Doñana;G050
3058;Cox;;
10007;Albalá;Asociación para el Desarrollo Integral de Sierra de Montánchez y Tamuja;G205
13004;Albaladejo;"Asociación de Desarrollo del Campo de Montiel y Campo de Calatrava ""Tierras de Libertad""";G107
16004;Albaladejo del Cuende;Federación para el Desarrollo de la Sierra y Mancha Conquense;G117
3059;Crevillent;;
3061;Daya Nueva;;
46010;Albalat dels Tarongers;Asociación para el Desarrollo Rural Valencia Interior;G262
22007;Albalate de Cinca;Centro de Desarrollo de la Zona Oriental Huesca;
16005;Albalate de las Nogueras;CEDER Alcarria Conquense;G116
19006;Albalate de Zorita;Federación de Asociaciones para el Desarrollo Territorial Tajo-Tajuña;G121
44008;Albalate del Arzobispo;Asociación para el Desarrollo Integral del Bajo Martín y Andorra-Sierra de Arcos;G059
22008;Albalatillo;"Asociación ""Monegros, Centro de Desarrollo""";G053
4004;Albánchez;Asociación de Desarrollo Rural Almanzora;G001
23001;Albanchez de Mágina;Asociación para el Desarrollo Rural de Sierra Mágina;G035
17003;Albanyà;Associació per al Desenvolupament Rural Integral de la Zona Nord - Oriental de Catalunya;G173
19007;Albares;Federación de Asociaciones para el Desarrollo Territorial Tajo-Tajuña;G121
44009;Albarracín;Asociación para el Desarrollo Rural Integral de la Sierra de Albarracín;G062
45003;Albarreal de Tajo;"Asociación Comarcal ""Castillos del Medio Tajo""";G122
2004;Albatana;"Asociación para la Promoción del Desarrollo de la Comarca ""Campos De Hellín""";G103
3063;Dénia;;
3064;Dolores;;
22009;Albelda;Centro de Desarrollo de la Zona Oriental Huesca;
26005;Albelda de Iregua;Centro Europeo de Información y Promoción del Medio Rural en La Rioja;G256
16006;Albendea;CEDER Alcarria Conquense;G116
19008;Albendiego;Asociación para el Desarrollo Local de La Sierra Norte de Guadalajara;G120
44010;Albentosa;Asociación para el Desarrollo Rural de Gádar, Javalambre y Maestrazgo;
16007;Alberca de Záncara, La;"Asociación para el Desarrollo Integral ""El Záncara""";G114
37010;Alberca, La;Asociación para el Desarrollo Rural Integral de las Sierras de Salamanca;G151
37011;Alberguería de Argañán, La;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
3065;Elche/Elx;;
26006;Alberite;Centro Europeo de Información y Promoción del Medio Rural en La Rioja;G256
50010;Alberite de San Juan;Asociación para el Desarrollo de las Tierras del Moncayo;
22011;Albero Alto;Asociación para el Desarrollo Rural Comarcal de la Hoya de Huesca / Plana de Uesca;G055
22012;Albero Bajo;"Asociación ""Monegros, Centro de Desarrollo""";G053
22013;Alberuela de Tubo;"Asociación ""Monegros, Centro de Desarrollo""";G053
25008;Albesa;Consorci Grup D'acció Local Noguera - Segrià Nord;G178
50011;Albeta;Asociación para el Desarrollo de las Tierras del Moncayo;
25009;Albi, L';Consorci Garrigues per al Desenvolupament del Territori;G176
9009;Albillos;Asociación para el Desarrollo de La Comarca del Arlanza;G135
3066;Elda;;
43003;Albiol, L';Consorci Leader Priorat Baix Camp;
20004;Albiztur;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
12003;Albocàsser;Grupo de Desarrollo Rural Comarca Els Ports-Maestrat;G260
4005;Alboloduy;Grupo de Desarrollo Rural de la Alpujarra-Sierra Nevada Almeriense;G005
18003;Albolote;Asociación para la Promoción Económica de la Vega-Sierra Elvira;G021
18004;Albondón;Asociación para la Promoción Económica y el Desarrollo Rural de la Alpujarra - Sierra Nevada de Granada;G025
3069;Finestrat;;
46012;Alborache;Asociación del Llano de Chiva a la Plana de Utiel;G261
3070;Formentera del Segura;;
2005;Alborea;Asociación para el Desarrollo de La Manchuela;G101
50012;Alborge;Centro para el Desarrollo de Las Comarcas del Mar de Aragón;G071
5005;Albornos;Asociación para el Desarrollo Rural Integral de La Moraña;G129
4006;Albox;Asociación de Desarrollo Rural Almanzora;G001
30004;Albudeite;Integral, Sociedad para el Desarrollo Rural;G248
6005;Albuera, La;Federación para el Desarrollo de Sierra Grande Tierra de Barros;G194
3071;Gata de Gorgos;;
3074;Granja de Rocamora;;
18006;Albuñol;Asociación para la Promoción Económica y el Desarrollo Rural de la Alpujarra - Sierra Nevada de Granada;G025
3076;Guardamar del Segura;;
6006;Alburquerque;Asociación para el Desarrollo de la Sierra de San Pedro-Los BaldÁ­os;
45004;Alcabón;"Asociación Comarcal ""Castillos del Medio Tajo""";G122
2006;Alcadozo;Asociación Grupo Desarrollo Rural de la Sierra de Alcaraz y Campo de Montiel;G099
44011;Alcaine;Oficina de Fomento y Desarrollo de la Comarca Cuencas Mineras;G065
50013;Alcalá de Ebro;Asociación para el Desarrollo de la Ribera Alta del Ebro;G066
3077;Fondó de les Neus, el/Hondón de las Nieves;;
22014;Alcalá de Gurrea;Asociación para el Desarrollo Rural Comarcal de la Hoya de Huesca / Plana de Uesca;G055
3079;Ibi;;
44012;Alcalá de la Selva;Asociación para el Desarrollo Rural de Gádar, Javalambre y Maestrazgo;
16008;Alcalá de la Vega;"Asociación ""Promoción y Desarrollo Serrano""";G113
3080;Jacarilla;;
50014;Alcalá de Moncayo;Asociación para el Desarrollo de las Tierras del Moncayo;
12004;Alcalà de Xivert;Asociación-Ruralter Leader Zona 1;G259
2007;Alcalá del Júcar;Asociación para el Desarrollo de La Manchuela;G101
22015;Alcalá del Obispo;Asociación para el Desarrollo Rural Comarcal de la Hoya de Huesca / Plana de Uesca;G055
41005;Alcalá del Río;Asociación Comarcal Gran Vega de Sevilla;G045
11002;Alcalá del Valle;Asociación Iniciativas Sostenibles Sierra de Cádiz;G007
23002;Alcalá la Real;Asociación para el Desarrollo Rural de la Sierra Sur de Jaén;G034
3006;Alcalalí;Asociación Centro de Desarrollo Rural Alicante;G257
22016;Alcampell;Centro de Desarrollo de la Zona Oriental Huesca;
3081;Xaló;;
3082;Jávea/Xàbia;;
25010;Alcanó;Consorci Garrigues per al Desenvolupament del Territori;G176
10008;Alcántara;Asociación para el Desarrollo de la Comarca Tajo-Salor-A.monte;G197
3088;Monforte del Cid;;
46016;Alcàntera de Xúquer;Asociación Ruralter- Leader Zona 7;G263
16009;Alcantud;CEDER Alcarria Conquense;G116
49003;Alcañices;Asociación para el Desarrollo de Aliste, Tabara y Alba;G168
44013;Alcañiz;Grupo de Acción Local Bajo Aragón-Matarraña;G064
45005;Alcañizo;Asociación para el Desarrollo de la Campana de Oropesa;G124
14003;Alcaracejos;Asociación ADROCHES para el Desarrollo Rural de la Comarca de Los Pedroches;G011
2008;Alcaraz;Asociación Grupo Desarrollo Rural de la Sierra de Alcaraz y Campo de Montiel;G099
3089;Monóvar/Monòver;;
3090;Mutxamel;;
29002;Alcaucín;Asociación Centro de Desarrollo Rural de la Axarquía;G038
23003;Alcaudete;Asociación para el Desarrollo Rural de la Sierra Sur de Jaén;G034
45006;Alcaudete de la Jara;Asociación para el Desarrollo de la Comarca de Talavera, Sierra de San Vicente y La Jara- Tierras de Talavera;G125
13005;Alcázar de San Juan;Asociación para el Desarrollo y la Promoción de La Mancha Norte de Ciudad Real;G112
16010;Alcázar del Rey;Federación para el Desarrollo de la Sierra y Mancha Conquense;G117
47005;Alcazarén;Asociación para el Desarrollo Rural Ruta del Mudéjar;G165
3092;Muro de Alcoy;;
13006;Alcoba;"Asociación ""Concejo de La Mancomunidad de Cabañeros""";G105
3093;Novelda;;
19009;Alcocer;Federación de Asociaciones para el Desarrollo Territorial Tajo-Tajuña;G121
3007;Alcocer de Planes;Asociación Centro de Desarrollo Rural Alicante;G257
9010;Alcocero de Mola;Asociación para el Desarrollo Comarcal Bureba;G134
16011;Alcohujate;CEDER Alcarria Conquense;G116
4007;Alcolea;Grupo de Desarrollo Rural de la Alpujarra-Sierra Nevada Almeriense;G005
13007;Alcolea de Calatrava;"Asociación de Desarrollo ""Montes Norte""";G106
22017;Alcolea de Cinca;Centro de Desarrollo de la Zona Oriental Huesca;
19010;Alcolea de las Peñas;Asociación para el Desarrollo Local de La Sierra Norte de Guadalajara;G120
45007;Alcolea de Tajo;Asociación para el Desarrollo de la Campana de Oropesa;G124
19011;Alcolea del Pinar;"Asociación de Desarrollo Rural ""Molina de Aragón - Alto Tajo""";G118
41006;Alcolea del Río;Asociación Comarcal Gran Vega de Sevilla;G045
3008;Alcoleja;Asociación Centro de Desarrollo Rural Alicante;G257
3094;Nucia, la;;
10009;Alcollarín;Asociación para el Desarrollo Integral de la Comarca Miajadas-Trujillo;G203
42006;Alconaba;Asociación Proyecto Noreste de Soria;G160
37012;Alconada;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
40005;Alconada de Maderuelo;Asociación Coordinadora para el Desarrollo Integral del Nordeste de Segovia;G153
6007;Alconchel;Asociación para el Desarrollo de la Comarca de Olivenza;G187
50015;Alconchel de Ariza;Asociación para el Desarrollo Rural Integral de la Comarca de Calatayud y del Aranda;
16012;Alconchel de la Estrella;"Asociación para el Desarrollo Integral ""El Záncara""";G114
6008;Alconera;Asociación Centro de Desarrollo Rural Zafra - Río Bodión;G185
4008;Alcóntar;Asociación de Desarrollo Rural Almanzora;G001
3095;Ondara;;
3096;Onil;;
44014;Alcorisa;Grupo de Acción Local Bajo Aragón-Matarraña;G064
19013;Alcoroches;"Asociación de Desarrollo Rural ""Molina de Aragón - Alto Tajo""";G118
43005;Alcover;Consorci de Desenvolupament Alt Camp, Conca De Barberà I Anoia;G181
3097;Orba;;
22018;Alcubierre;"Asociación ""Monegros, Centro de Desarrollo""";G053
42007;Alcubilla de Avellaneda;Asociación para el Desarrollo Rural Integral Tierras Sorianas del Cid;G158
42008;Alcubilla de las Peñas;Asociación para el Desarrollo Endógeno de Almazán y otros municipios;G157
49004;Alcubilla de Nogales;Asociación para el Desarrollo Integral de Las Mancomunidades de La Comarca de Los Valles de Benavente;G171
13008;Alcubillas;"Asociación de Desarrollo del Campo de Montiel y Campo de Calatrava ""Tierras de Libertad""";G107
46018;Alcublas;Asociación para el Desarrollo Rural Valencia Interior;G262
3099;Orihuela;;
3101;Pedreguer;;
4009;Alcudia de Monteagud;Asociación para el Desarrollo Rural de la Comarca Filabres-Alhamilla;G003
12006;Alcudia de Veo;Asociación Ruralter Castellón Sur;G258
3102;Pego;;
10010;Alcuéscar;Asociación para el Desarrollo Integral de Sierra de Montánchez y Tamuja;G205
3104;Petrer;;
47006;Aldea de San Miguel;Asociación para el Desarrollo Rural Ruta del Mudéjar;G165
3105;Pinós, el/Pinoso;;
10012;Aldea del Cano;Asociación para el Desarrollo Integral de Sierra de Montánchez y Tamuja;G205
28008;Aldea del Fresno;Consorcio de la Sierra Oeste;G242
37015;Aldea del Obispo;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
10013;Aldea del Obispo, La;Asociación para el Desarrollo Integral de la Comarca Miajadas-Trujillo;G203
13009;Aldea del Rey;Asociación para el Desarrollo del Campo de Calatrava;G110
45008;Aldea en Cabo;"Asociación Comarcal ""Castillos del Medio Tajo""";G122
40012;Aldea Real;Asociación Intermunicipal para el Desarrollo Local en la Comarca de Santa María la Real de Nieva;G155
43904;Aldea, L';Consorci per al Desenvolupament del Baix Ebre i Montsià;G184
10011;Aldeacentenera;Asociación Promoción y Desarrollo Rural Comarca de Villuercas, Ibores y Jara;G207
37013;Aldeacipreste;Asociación para el Desarrollo Rural Integral de las Sierras de Salamanca;G151
37014;Aldeadávila de la Ribera;Asociación para el Desarrollo de la Zona Oeste de Salamanca;G149
42009;Aldealafuente;Asociación Proyecto Noreste de Soria;G160
40006;Aldealcorvo;Asociación Coordinadora para el Desarrollo Integral del Nordeste de Segovia;G153
37016;Aldealengua;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
40007;Aldealengua de Pedraza;Asociación para el Desarrollo Rural Segovia Sur;G156
40008;Aldealengua de Santa María;Asociación Coordinadora para el Desarrollo Integral del Nordeste de Segovia;G153
42010;Aldealices;Asociación Proyecto Noreste de Soria;G160
42011;Aldealpozo;Asociación Proyecto Noreste de Soria;G160
42012;Aldealseñor;Asociación Proyecto Noreste de Soria;G160
3107;Polop;;
45009;Aldeanueva de Barbarroya;Asociación para el Desarrollo de la Comarca de Talavera, Sierra de San Vicente y La Jara- Tierras de Talavera;G125
3109;Rafal;;
37017;Aldeanueva de Figueroa;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
19015;Aldeanueva de Guadalajara;Asociación para el Desarrollo de Alcarria y Campiña;G119
40009;Aldeanueva de la Serrezuela;Asociación Coordinadora para el Desarrollo Integral del Nordeste de Segovia;G153
37018;Aldeanueva de la Sierra;Asociación para el Desarrollo Rural Integral de las Sierras de Salamanca;G151
10014;Aldeanueva de la Vera;Asociación para el Desarrollo Integral de la Comarca de la Vera;G201
45010;Aldeanueva de San Bartolomé;Asociación para el Desarrollo de la Comarca de Talavera, Sierra de San Vicente y La Jara- Tierras de Talavera;G125
5007;Aldeanueva de Santa Cruz;Asociación Intermunicipal para el Desarrollo Rural  de la Comarca Barco-Piedrahita-Gredos;G128
10015;Aldeanueva del Camino;Asociación Desarrollo Integral del Valle del Ambroz;G195
40010;Aldeanueva del Codonal;Asociación Intermunicipal para el Desarrollo Local en la Comarca de Santa María la Real de Nieva;G155
23004;Aldeaquemada;Asociación para el Desarrollo de la Campiña Norte de Jaén;G032
37019;Aldearrodrigo;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
37020;Aldearrubia;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
5008;Aldeaseca;Asociación para el Desarrollo Rural Integral de La Moraña;G129
37021;Aldeaseca de Alba;Asociación para el Desarrollo Rural y Económico de las Comarcas del  Campo Charro, Alba de Tormes y Guijuelo;G152
37022;Aldeaseca de la Frontera;Asociación para el Desarrollo Endógeno del Territorio Nordeste de Salamanca;G150
40013;Aldeasoña;Asociación Honorse-Tierra de Pinares;G154
37023;Aldeatejada;Asociación para el Desarrollo Rural y Económico de las Comarcas del  Campo Charro, Alba de Tormes y Guijuelo;G152
37024;Aldeavieja de Tormes;Asociación para el Desarrollo Rural y Económico de las Comarcas del  Campo Charro, Alba de Tormes y Guijuelo;G152
40014;Aldehorno;Asociación Coordinadora para el Desarrollo Integral del Nordeste de Segovia;G153
10016;Aldehuela de Jerte;Asociación para el Desarrollo del Valle del Alagón;G200
37025;Aldehuela de la Bóveda;Asociación para el Desarrollo Rural y Económico de las Comarcas del  Campo Charro, Alba de Tormes y Guijuelo;G152
50016;Aldehuela de Liestos;Asociación para el Desarrollo Rural Integral de las Tierras del Jiloca y Gallocanta;
42013;Aldehuela de Periáñez;Asociación Proyecto Noreste de Soria;G160
37026;Aldehuela de Yeltes;Asociación para el Desarrollo de la Comarca de Ciudad Rodrigo;G148
40015;Aldehuela del Codonal;Asociación Intermunicipal para el Desarrollo Local en la Comarca de Santa María la Real de Nieva;G155
5010;Aldehuela, La;Asociación Intermunicipal para el Desarrollo Rural  de la Comarca Barco-Piedrahita-Gredos;G128
42014;Aldehuelas, Las;Asociación Proyecto Noreste de Soria;G160
18010;Aldeire;Asociación para el Desarrollo Rural de la Comarca de Guadix;G019
40016;Aldeonte;Asociación Coordinadora para el Desarrollo Integral del Nordeste de Segovia;G153
43006;Aldover;Consorci per al Desenvolupament del Baix Ebre i Montsià;G184
30006;Aledo;Integral, Sociedad para el Desarrollo Rural;G248
20005;Alegia;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
1001;Alegría-Dulantzi;Asociación para el Progreso del Desarrollo Rural MENDINET;G253
43007;Aleixar, L';Consorci Leader Priorat Baix Camp;
3111;Redován;;
42015;Alentisque;Asociación para el Desarrollo Endógeno de Almazán y otros municipios;G157
22019;Alerre;Asociación para el Desarrollo Rural Comarcal de la Hoya de Huesca / Plana de Uesca;G055
26009;Alesanco;Centro Europeo de Información y Promoción del Medio Rural en La Rioja;G256
26010;Alesón;Centro Europeo de Información y Promoción del Medio Rural en La Rioja;G256
18011;Alfacar;Asociación para la Promoción Económica del Arco Noreste de la Vega de Granada;G023
3113;Rojales;;
3010;Alfafara;Asociación Centro de Desarrollo Rural Alicante;G257
3118;San Fulgencio;;
